<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.11.28,15:00:00,89.66,90.14,88.79,89.68,100,0,0
2019.11.29,15:00:00,89.00,89.00,83.72,85.90,100,0,0
2019.12.02,15:00:00,83.08,85.49,83.04,83.73,100,0,0
2019.12.03,15:00:00,83.48,84.78,81.49,84.55,100,0,0
2019.12.04,15:00:00,84.50,86.24,83.77,85.65,100,0,0
2019.12.05,15:00:00,85.99,87.28,85.73,85.91,100,0,0
2019.12.06,15:00:00,86.42,87.13,85.65,87.10,100,0,0
2019.12.09,15:00:00,87.40,87.40,82.98,83.62,100,0,0
2019.12.10,15:00:00,83.00,84.60,82.88,84.50,100,0,0
2019.12.11,15:00:00,85.28,85.40,84.11,85.00,100,0,0
2019.12.12,15:00:00,85.84,85.84,84.30,85.10,100,0,0
2019.12.13,15:00:00,85.59,87.00,85.11,86.85,100,0,0
2019.12.16,15:00:00,86.72,86.79,84.70,85.25,100,0,0
2019.12.17,15:00:00,85.22,86.55,84.06,86.04,100,0,0
2019.12.18,15:00:00,86.00,86.00,84.33,84.75,100,0,0
2019.12.19,15:00:00,85.16,85.16,84.20,84.86,100,0,0
2019.12.20,15:00:00,85.20,85.25,84.30,84.90,100,0,0
2019.12.23,15:00:00,84.91,85.92,84.45,85.23,100,0,0
2019.12.24,15:00:00,84.89,85.43,84.47,84.50,100,0,0
2019.12.25,15:00:00,84.10,84.16,82.00,83.38,100,0,0
2019.12.26,15:00:00,83.50,84.72,83.40,84.38,100,0,0
2019.12.27,15:00:00,84.00,85.08,83.99,84.38,100,0,0
2019.12.30,15:00:00,84.30,85.58,83.24,85.50,100,0,0
2019.12.31,15:00:00,85.27,88.18,85.27,87.52,100,0,0
2020.01.02,15:00:00,88.00,88.10,86.85,87.68,100,0,0
2020.01.03,15:00:00,88.02,88.20,85.70,85.95,100,0,0
2020.01.06,15:00:00,85.55,85.71,83.55,84.09,100,0,0
2020.01.07,15:00:00,84.10,85.43,83.68,84.87,100,0,0
2020.01.08,15:00:00,84.03,84.84,84.00,84.68,100,0,0
