<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2006.06.30,15:00:00,102.93,102.93,102.93,102.93,100,0,0
2006.07.31,15:00:00,103.51,103.51,103.51,103.51,100,0,0
2006.08.31,15:00:00,103.31,103.31,103.31,103.31,100,0,0
2006.09.30,15:00:00,103.14,103.14,103.14,103.14,100,0,0
2006.10.31,15:00:00,103.40,103.40,103.40,103.40,100,0,0
2006.11.30,15:00:00,103.92,103.92,103.92,103.92,100,0,0
2006.12.31,15:00:00,103.33,103.33,103.33,103.33,100,0,0
2007.01.31,15:00:00,102.42,102.42,102.42,102.42,100,0,0
2007.02.28,15:00:00,101.78,101.78,101.78,101.78,100,0,0
2007.03.31,15:00:00,101.22,101.22,101.22,101.22,100,0,0
2007.04.30,15:00:00,102.60,102.60,102.60,102.60,100,0,0
2007.05.31,15:00:00,103.32,103.32,103.32,103.32,100,0,0
2007.06.30,15:00:00,103.63,103.63,103.63,103.63,100,0,0
2007.07.31,15:00:00,104.00,104.00,104.00,104.00,100,0,0
2007.08.31,15:00:00,104.48,104.48,104.48,104.48,100,0,0
2007.09.30,15:00:00,104.99,104.99,104.99,104.99,100,0,0
2007.10.31,15:00:00,105.74,105.74,105.74,105.74,100,0,0
2007.11.30,15:00:00,106.59,106.59,106.59,106.59,100,0,0
2007.12.31,15:00:00,106.45,106.45,106.45,106.45,100,0,0
2008.01.31,15:00:00,106.11,106.11,106.11,106.11,100,0,0
2008.02.29,15:00:00,105.55,105.55,105.55,105.55,100,0,0
2008.03.31,15:00:00,104.72,104.72,104.72,104.72,100,0,0
2008.04.30,15:00:00,104.07,104.07,104.07,104.07,100,0,0
2008.05.31,15:00:00,103.34,103.34,103.34,103.34,100,0,0
2008.06.30,15:00:00,103.08,103.08,103.08,103.08,100,0,0
2008.07.31,15:00:00,102.36,102.36,102.36,102.36,100,0,0
2008.08.31,15:00:00,101.78,101.78,101.78,101.78,100,0,0
2008.09.30,15:00:00,101.15,101.15,101.15,101.15,100,0,0
2008.10.31,15:00:00,99.68,99.68,99.68,99.68,100,0,0
2008.11.30,15:00:00,98.46,98.46,98.46,98.46,100,0,0
2008.12.31,15:00:00,96.46,96.46,96.46,96.46,100,0,0
2009.02.28,15:00:00,94.86,94.86,94.86,94.86,100,0,0
2009.03.31,15:00:00,94.74,94.74,94.74,94.74,100,0,0
2009.04.30,15:00:00,94.76,94.76,94.76,94.76,100,0,0
2009.05.31,15:00:00,95.94,95.94,95.94,95.94,100,0,0
2009.06.30,15:00:00,96.55,96.55,96.55,96.55,100,0,0
2009.07.31,15:00:00,98.01,98.01,98.01,98.01,100,0,0
2009.08.31,15:00:00,100.08,100.08,100.08,100.08,100,0,0
2009.09.30,15:00:00,101.08,101.08,101.08,101.08,100,0,0
2009.10.31,15:00:00,102.03,102.03,102.03,102.03,100,0,0
2009.11.30,15:00:00,102.78,102.78,102.78,102.78,100,0,0
2009.12.31,15:00:00,103.66,103.66,103.66,103.66,100,0,0
2010.01.31,15:00:00,100.00,100.00,100.00,100.00,100,0,0
2010.02.28,15:00:00,105.47,105.47,105.47,105.47,100,0,0
2010.03.31,15:00:00,105.89,105.89,105.89,105.89,100,0,0
2010.04.30,15:00:00,105.66,105.66,105.66,105.66,100,0,0
