<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.09.18,15:00:00,24.47,24.86,24.28,24.43,100,0,0
2019.09.19,15:00:00,24.42,24.80,24.18,24.63,100,0,0
2019.09.20,15:00:00,24.81,24.81,24.31,24.50,100,0,0
2019.09.23,15:00:00,24.43,24.56,24.00,24.10,100,0,0
2019.09.24,15:00:00,24.23,24.54,24.05,24.12,100,0,0
2019.09.25,15:00:00,24.12,24.33,23.93,24.00,100,0,0
2019.09.26,15:00:00,24.23,24.23,23.55,23.79,100,0,0
2019.09.27,15:00:00,23.81,24.40,23.76,24.07,100,0,0
2019.09.30,15:00:00,24.15,24.97,24.11,24.70,100,0,0
2019.10.08,15:00:00,24.61,24.70,24.30,24.38,100,0,0
2019.10.09,15:00:00,24.15,24.15,23.69,24.00,100,0,0
2019.10.10,15:00:00,23.90,24.48,23.85,24.40,100,0,0
2019.10.11,15:00:00,24.42,24.65,24.30,24.33,100,0,0
2019.10.14,15:00:00,24.65,25.25,24.65,25.01,100,0,0
2019.10.15,15:00:00,24.96,25.57,24.86,25.28,100,0,0
2019.10.16,15:00:00,25.41,25.48,25.06,25.20,100,0,0
2019.10.17,15:00:00,25.17,26.10,25.08,26.06,100,0,0
2019.10.18,15:00:00,25.96,26.35,25.63,26.08,100,0,0
2019.10.21,15:00:00,25.95,26.58,25.91,26.29,100,0,0
2019.10.22,15:00:00,26.40,27.12,26.35,27.01,100,0,0
2019.10.23,15:00:00,27.03,27.31,26.37,26.51,100,0,0
2019.10.24,15:00:00,26.65,26.79,26.05,26.19,100,0,0
2019.10.25,15:00:00,26.33,26.63,26.11,26.21,100,0,0
2019.10.28,15:00:00,25.98,26.78,25.42,26.20,100,0,0
2019.10.29,15:00:00,27.28,28.82,27.28,28.82,100,0,0
2019.10.30,15:00:00,29.70,30.90,28.68,29.98,100,0,0
2019.10.31,15:00:00,29.80,30.30,29.40,29.85,100,0,0
2019.11.01,15:00:00,29.69,30.46,29.06,30.37,100,0,0
2019.11.04,15:00:00,30.37,30.62,29.50,30.09,100,0,0
2019.11.05,15:00:00,30.00,33.10,29.81,32.50,100,0,0
2019.11.06,15:00:00,32.50,32.51,31.50,31.94,100,0,0
2019.11.07,15:00:00,31.95,32.29,31.41,31.82,100,0,0
2019.11.08,15:00:00,31.80,34.36,31.00,33.47,100,0,0
2019.11.11,15:00:00,32.83,35.20,32.00,32.70,100,0,0
2019.11.12,15:00:00,32.60,32.97,31.68,32.80,100,0,0
2019.11.13,15:00:00,32.70,34.14,31.96,33.28,100,0,0
2019.11.14,15:00:00,33.11,33.16,31.55,31.70,100,0,0
2019.11.15,15:00:00,31.82,32.44,31.57,31.59,100,0,0
2019.11.18,15:00:00,31.19,32.52,30.80,32.23,100,0,0
2019.11.19,15:00:00,32.25,32.56,31.81,32.11,100,0,0
2019.11.20,15:00:00,31.94,32.65,31.75,32.07,100,0,0
2019.11.21,15:00:00,32.08,32.18,31.21,31.49,100,0,0
2019.11.22,15:00:00,31.80,31.90,30.80,31.16,100,0,0
2019.11.25,15:00:00,31.36,31.52,30.67,31.20,100,0,0
2019.11.26,15:00:00,31.28,32.13,31.00,32.13,100,0,0
2019.11.27,15:00:00,31.91,31.96,30.66,30.83,100,0,0
2019.11.28,15:00:00,30.86,31.32,30.50,31.04,100,0,0
2019.11.29,15:00:00,30.96,31.49,30.38,30.99,100,0,0
2019.12.02,15:00:00,30.92,31.25,30.53,30.65,100,0,0
2019.12.03,15:00:00,30.66,31.10,30.56,30.86,100,0,0
2019.12.04,15:00:00,31.00,31.14,28.59,29.01,100,0,0
2019.12.05,15:00:00,29.07,29.58,28.98,29.06,100,0,0
2019.12.06,15:00:00,29.19,30.05,29.15,29.73,100,0,0
2019.12.09,15:00:00,30.05,30.09,28.88,29.10,100,0,0
2019.12.10,15:00:00,29.26,29.55,28.74,29.03,100,0,0
2019.12.11,15:00:00,29.14,29.26,28.71,28.85,100,0,0
2019.12.12,15:00:00,28.93,29.12,28.65,28.77,100,0,0
2019.12.13,15:00:00,29.26,29.39,28.82,29.09,100,0,0
2019.12.16,15:00:00,29.17,29.99,29.04,29.49,100,0,0
2019.12.17,15:00:00,29.55,30.00,29.23,29.79,100,0,0
2019.12.18,15:00:00,29.75,29.75,29.02,29.15,100,0,0
2019.12.19,15:00:00,29.15,29.38,28.69,29.23,100,0,0
2019.12.20,15:00:00,29.31,30.04,29.31,29.91,100,0,0
2019.12.23,15:00:00,30.12,30.13,28.80,29.08,100,0,0
2019.12.24,15:00:00,28.90,29.09,28.69,29.00,100,0,0
2019.12.25,15:00:00,29.01,29.10,28.30,28.39,100,0,0
2019.12.26,15:00:00,28.46,28.59,28.15,28.45,100,0,0
2019.12.27,15:00:00,28.51,29.05,28.49,28.70,100,0,0
2019.12.30,15:00:00,28.66,29.04,28.21,28.96,100,0,0
2019.12.31,15:00:00,29.03,29.35,28.82,29.03,100,0,0
2020.01.02,15:00:00,29.36,30.30,29.22,30.27,100,0,0
2020.01.03,15:00:00,30.38,30.60,29.78,29.90,100,0,0
2020.01.06,15:00:00,29.81,30.09,29.30,29.50,100,0,0
2020.01.07,15:00:00,29.39,30.67,29.39,30.58,100,0,0
2020.01.08,15:00:00,30.40,30.87,30.18,30.24,100,0,0
2020.01.09,15:00:00,30.50,31.68,30.50,31.41,100,0,0
2020.01.10,15:00:00,31.47,31.80,31.01,31.44,100,0,0
2020.01.13,15:00:00,31.44,31.50,30.75,31.20,100,0,0
2020.01.14,15:00:00,31.17,31.55,30.86,31.20,100,0,0
2020.01.15,15:00:00,31.20,31.68,30.98,31.67,100,0,0
2020.01.16,15:00:00,31.40,31.64,30.75,30.76,100,0,0
2020.01.17,15:00:00,31.00,31.08,30.42,30.55,100,0,0
2020.01.20,15:00:00,30.50,30.66,30.03,30.31,100,0,0
2020.01.21,15:00:00,30.20,30.90,30.04,30.45,100,0,0
2020.01.22,15:00:00,30.48,30.82,29.62,30.55,100,0,0
2020.01.23,15:00:00,30.09,30.09,28.84,29.26,100,0,0
2020.02.03,15:00:00,26.33,29.25,26.33,28.84,100,0,0
2020.02.04,15:00:00,28.70,29.76,28.69,29.30,100,0,0
2020.02.05,15:00:00,29.60,29.60,28.86,28.99,100,0,0
2020.02.06,15:00:00,29.00,30.80,28.51,30.80,100,0,0
2020.02.07,15:00:00,30.50,33.29,30.03,32.78,100,0,0
2020.02.10,15:00:00,32.64,34.19,32.50,33.03,100,0,0
2020.02.11,15:00:00,32.99,32.99,32.20,32.44,100,0,0
2020.02.12,15:00:00,32.50,32.72,32.12,32.50,100,0,0
2020.02.13,15:00:00,32.28,32.99,32.01,32.38,100,0,0
2020.02.14,15:00:00,32.36,33.32,32.18,33.29,100,0,0
2020.02.17,15:00:00,33.36,34.38,32.97,34.06,100,0,0
2020.02.18,15:00:00,33.95,33.99,33.33,33.57,100,0,0
2020.02.19,15:00:00,33.55,36.07,33.26,35.90,100,0,0
2020.02.20,15:00:00,35.59,36.13,34.90,35.50,100,0,0
2020.02.21,15:00:00,35.13,35.56,34.85,35.09,100,0,0
2020.02.24,15:00:00,35.00,35.98,34.65,34.79,100,0,0
2020.02.25,15:00:00,33.80,35.69,33.80,35.12,100,0,0
2020.02.26,15:00:00,34.70,35.48,34.40,34.52,100,0,0
2020.02.27,15:00:00,34.87,35.31,34.03,34.65,100,0,0
2020.02.28,15:00:00,34.10,34.68,33.18,34.00,100,0,0
2020.03.02,15:00:00,34.01,34.78,33.92,34.03,100,0,0
2020.03.03,15:00:00,34.36,35.08,33.60,34.11,100,0,0
2020.03.04,15:00:00,34.26,36.44,34.16,36.10,100,0,0
2020.03.05,15:00:00,36.17,38.36,35.52,37.49,100,0,0
2020.03.06,15:00:00,37.07,38.15,36.73,37.08,100,0,0
2020.03.09,15:00:00,36.90,37.33,36.02,36.29,100,0,0
2020.03.10,15:00:00,36.00,37.48,35.71,36.89,100,0,0
2020.03.11,15:00:00,37.10,37.85,36.58,36.65,100,0,0
2020.03.12,15:00:00,36.08,36.25,34.97,35.68,100,0,0
2020.03.13,15:00:00,33.90,35.93,33.17,35.01,100,0,0
2020.03.16,15:00:00,35.22,36.79,34.00,34.60,100,0,0
2020.03.17,15:00:00,35.10,35.60,33.49,34.38,100,0,0
2020.03.18,15:00:00,34.66,36.59,34.33,34.52,100,0,0
2020.03.19,15:00:00,34.70,35.10,33.20,34.00,100,0,0
2020.03.20,15:00:00,34.20,35.20,33.63,34.80,100,0,0
2020.03.23,15:00:00,34.40,35.10,33.80,34.50,100,0,0
2020.03.24,15:00:00,34.95,36.69,34.93,36.69,100,0,0
2020.03.25,15:00:00,36.99,37.00,35.42,35.98,100,0,0
2020.03.26,15:00:00,35.55,36.50,35.21,35.21,100,0,0
2020.03.27,15:00:00,35.80,37.80,35.35,37.50,100,0,0
2020.03.30,15:00:00,36.82,38.18,36.79,37.98,100,0,0
2020.03.31,15:00:00,37.95,39.77,37.53,39.30,100,0,0
2020.04.01,15:00:00,39.10,40.00,38.07,38.91,100,0,0
2020.04.02,15:00:00,38.76,39.59,38.46,39.40,100,0,0
2020.04.03,15:00:00,39.42,40.38,39.06,39.87,100,0,0
2020.04.07,15:00:00,40.12,41.98,39.90,40.99,100,0,0
2020.04.08,15:00:00,40.65,41.44,39.95,40.90,100,0,0
2020.04.09,15:00:00,40.88,42.07,40.60,41.25,100,0,0
2020.04.10,15:00:00,41.54,42.44,39.70,40.09,100,0,0
2020.04.13,15:00:00,39.87,40.75,39.00,40.02,100,0,0
2020.04.14,15:00:00,40.43,40.75,39.69,40.40,100,0,0
2020.04.15,15:00:00,40.40,41.17,39.60,40.10,100,0,0
2020.04.16,15:00:00,39.62,40.56,39.54,40.22,100,0,0
2020.04.17,15:00:00,40.30,40.80,39.70,39.90,100,0,0
2020.04.20,15:00:00,39.91,40.29,39.55,40.25,100,0,0
2020.04.21,15:00:00,40.20,40.87,39.76,40.57,100,0,0
2020.04.22,15:00:00,40.29,42.30,40.00,42.20,100,0,0
2020.04.23,15:00:00,42.00,42.35,41.30,41.56,100,0,0
2020.04.24,15:00:00,41.41,42.40,41.03,41.88,100,0,0
2020.04.27,15:00:00,42.03,43.43,41.75,43.28,100,0,0
2020.04.28,15:00:00,43.36,44.10,42.37,44.02,100,0,0
2020.04.29,15:00:00,43.50,44.08,40.89,41.18,100,0,0
2020.04.30,15:00:00,41.30,41.50,39.48,40.41,100,0,0
2020.05.06,15:00:00,39.88,41.66,39.70,41.49,100,0,0
2020.05.07,15:00:00,41.61,42.65,41.40,42.19,100,0,0
2020.05.08,15:00:00,42.57,43.65,42.09,42.83,100,0,0
