<DATE>  <OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.02	13976	13986	13891	13933	4627	0	18
2019.07.03	13908	13921	13733	13858	5338	0	18
2019.07.04	13858	13881	13681	13763	4690	0	18
2019.07.05	13741	13858	13671	13718	5709	0	18
2019.07.08	13699	13739	13434	13588	6567	0	18
2019.07.09	13576	13576	13428	13508	5393	0	18
2019.07.10	13521	13588	13428	13548	5699	0	18
2019.07.11	13544	13676	13391	13439	5770	0	21
2019.07.12	13434	13636	13429	13504	5884	0	18
2019.07.15	13519	13654	13304	13566	7322	0	18
2019.07.16	13561	13586	13428	13433	5580	0	18
2019.07.17	13431	13501	13368	13381	5232	0	18
2019.07.18	13370	13425	13332	13407	5780	0	21
2019.07.19	13440	13590	13432	13472	6008	0	21
2019.07.22	13496	13608	13449	13486	7316	0	21
2019.07.23	13517	13547	13442	13520	5089	0	21
2019.07.24	13518	13680	13518	13573	5286	0	21
2019.07.25	13584	13721	13549	13629	5941	0	21
2019.07.26	13634	13763	13601	13723	4160	0	21
2019.07.29	13691	13763	13668	13746	3896	0	21
2019.07.30	13751	13871	13618	13676	5259	0	21
2019.07.31	13686	13718	13421	13516	5975	0	21
2019.08.01	13518	13608	13048	13071	10813	0	21
2019.08.02	13075	13326	13075	13126	10117	0	21
2019.08.05	13151	13196	12683	12738	10868	0	21
2019.08.06	12627	12996	12627	12951	11469	0	21
2019.08.07	12973	12993	12733	12953	9579	0	21
2019.08.08	12951	13146	12896	13138	7023	0	21
2019.08.09	13117	13137	12911	12996	6535	0	21
2019.08.12	12971	13244	12966	13066	7854	0	21
2019.08.13	13081	13386	13056	13331	9305	0	21
2019.08.14	13321	13321	12976	12978	9673	0	21
2019.08.15	12981	13198	12936	13143	12709	0	21
2019.08.16	13186	13318	13103	13291	7175	0	21
2019.08.19	13351	13478	13246	13403	7516	0	21
2019.08.20	13403	13493	13373	13393	6070	0	21
2019.08.21	13411	13538	13403	13528	4871	0	21
2019.08.22	13506	13518	13408	13471	5552	0	21
2019.08.23	13476	13663	13371	13391	10280	0	21
2019.08.26	13348	13516	13306	13488	9285	0	21
2019.08.27	13468	13648	13461	13498	7781	0	21
2019.08.28	13526	13586	13391	13483	5879	0	21
2019.08.29	13463	13586	13311	13546	6229	0	21
2019.08.30	13561	13601	13388	13521	6168	0	21
2019.09.02	13503	13641	13473	13578	4643	0	21
2019.09.03	13591	13623	13536	13603	5902	0	21
2019.09.04	13578	13758	13578	13743	6572	0	21
2019.09.05	13766	14016	13751	13903	5828	0	21
2019.09.06	13941	14058	13838	13988	6179	0	21
2019.09.09	14026	14048	13908	13946	4658	0	21
2019.09.10	13953	14008	13811	13901	4768	0	21
2019.09.11	13908	13916	13726	13813	5524	0	21
2019.09.12	13891	14011	13826	13958	6675	0	21
2019.09.13	13971	14066	13913	14056	2715	0	21
2019.09.16	14001	14001	13831	13861	4878	0	15
2019.09.17	13868	13883	13630	13735	5212	0	21
2019.09.18	13730	13843	13698	13790	4447	0	21
2019.09.19	13810	13863	13735	13795	4311	0	21
2019.09.20	13795	13871	13648	13686	4853	0	21
2019.09.23	13736	13793	13603	13676	4717	0	21
2019.09.24	13691	13811	13626	13681	5581	0	21
2019.09.25	13671	13753	13636	13733	5669	0	21
2019.09.26	13738	13806	13661	13681	4986	0	21
2019.09.27	13683	13713	13458	13503	6295	0	21
2019.09.30	13573	13698	13496	13548	5602	0	21
2019.10.01	13573	13608	13461	13466	2620	0	21
2019.10.02	13481	13556	13383	13406	4685	0	21
2019.10.03	13383	13513	13373	13508	4993	0	21
2019.10.04	13488	13511	13381	13501	4542	0	21
2019.10.07	13471	13528	13416	13471	2279	0	21
2019.10.08	13498	13768	13498	13538	7278	0	21
2019.10.09	13568	13823	13551	13738	5670	0	21
2019.10.10	13671	13868	13618	13856	6934	0	21
2019.10.11	13858	14093	13788	14036	7518	0	21
2019.10.14	14043	14223	13978	14061	6357	0	21
2019.10.15	14083	14183	14071	14143	4556	0	21
2019.10.16	14126	14248	14016	14071	5587	0	21
2019.10.17	14058	14131	14041	14106	4643	0	18
2019.10.18	14098	14176	13796	13841	6310	0	21
2019.10.21	13871	13991	13821	13978	5100	0	21
2019.10.22	13988	14026	13873	13956	4533	0	21
2019.10.23	13943	13981	13823	13941	4709	0	18
2019.10.24	13938	13988	13831	13891	5219	0	18
2019.10.25	13898	13958	13756	13948	4992	0	21
2019.10.28	13958	14011	13873	13991	4401	0	21
2019.10.29	13993	14023	13921	13936	3484	0	21
2019.10.30	13941	13978	13783	13873	4725	0	21
2019.10.31	13891	13941	13821	13853	5266	0	21
2019.11.01	13863	14226	13846	14223	5185	0	21
2019.11.04	14213	14331	14198	14293	4022	0	21
2019.11.05	14296	14456	14223	14313	5793	0	21
2019.11.06	14306	14328	14233	14271	4921	0	21
2019.11.07	14273	14396	14211	14338	6192	0	21
2019.11.08	14331	14366	14191	14246	5080	0	21
2019.11.11	14221	14226	13953	14073	5272	0	21
2019.11.12	14066	14083	13886	13926	4810	0	21
2019.11.13	13936	13983	13883	13963	5216	0	21
2019.11.14	13965	14013	13910	13978	4692	0	21
2019.11.15	14015	14043	13888	13923	4318	0	21
2019.11.18	13896	14041	13866	13968	4802	0	21
2019.11.19	13968	14131	13958	14053	3872	0	21
2019.11.20	14051	14068	13881	13923	4460	0	18
2019.11.21	13891	13896	13778	13868	6934	0	21
2019.11.22	13878	13933	13621	13663	6926	0	18
2019.11.25	13723	13842	13703	13834	3705	0	21
2019.11.26	13847	13932	13768	13801	4671	0	18
2019.11.27	13816	13871	13748	13856	3666	0	21
2019.11.28	13818	13848	13688	13703	3085	0	21
2019.11.29	13706	13723	13483	13591	4488	0	21
2019.12.02	13611	13643	13518	13541	4052	0	21
2019.12.03	13551	13666	13478	13581	4984	0	21
2019.12.04	13573	13753	13543	13713	4269	0	21
2019.12.05	13706	13766	13663	13753	4058	0	21
2019.12.06	13751	13868	13751	13843	3348	0	21
2019.12.09	13833	13856	13726	13726	3109	0	21
2019.12.10	13726	13813	13708	13808	3403	0	21
2019.12.11	13806	13858	13748	13851	3080	0	21
2019.12.12	13833	13916	13761	13888	4324	0	21
2019.12.13	13941	14141	13911	14013	5988	0	18
2019.12.16	14026	14106	13968	14078	3045	0	21
2019.12.17	14066	14326	14026	14238	4140	0	21
2019.12.18	14218	14301	14188	14246	3197	0	21
2019.12.19	14248	14271	14168	14208	2413	0	21
2019.12.20	14208	14276	14173	14243	3278	0	21
2019.12.23	14246	14248	14023	14043	3942	0	21
2019.12.24	14053	14101	13946	14068	2153	0	21
2019.12.26	14131	14168	14126	14153	423	0	21
2019.12.27	14163	14298	14133	14163	4167	0	21
2019.12.30	14166	14366	14111	14286	4857	0	21
